date,price,pred
2023-02-23,149.399994,151.11881025392054
2023-02-24,146.710007,149.73804593247698
2023-02-27,147.919998,147.95009447302246
2023-02-28,147.410004,149.55940498965452
2023-03-01,145.309998,146.6343482937164
2023-03-02,145.910004,144.87491749287415
2023-03-03,151.029999,149.52906966073607
2023-03-06,153.830002,149.82703933784484
2023-03-07,151.600006,152.2393236698456
2023-03-08,152.869995,153.33239547117614
2023-03-09,150.589996,151.86110065630723
2023-03-10,148.5,147.21456279550173
2023-03-13,150.470001,148.34515939099123
2023-03-14,152.589996,151.98088319096374
2023-03-15,152.990005,150.54468345581725
2023-03-16,155.850006,155.46908304623415
2023-03-17,155.0,158.65512294497682
2023-03-20,157.399994,156.54595613957216
2023-03-21,159.279999,158.40655815193176
2023-03-22,157.830002,158.258001621109
2023-03-23,158.929993,157.20826214960098
2023-03-24,160.25,160.2276487009735
2023-03-27,158.279999,158.6402230259285
2023-03-28,157.649994,156.68141049111938
2023-03-29,160.770004,160.88613907812498
2023-03-30,162.360001,162.02204562527464
2023-03-31,164.899994,163.21458708354186
2023-04-03,166.169998,166.81510265826415
2023-04-04,165.630005,166.69350148541258
2023-04-05,163.759995,164.015111079895
2023-04-06,164.660004,164.86634521398352
2023-04-10,162.029999,161.88279147557068
2023-04-11,160.800003,160.1711178364105
2023-04-12,160.100006,160.75081254209897
2023-04-13,165.559998,163.66190705845642
2023-04-14,165.210007,164.49601400648498
2023-04-17,165.229996,165.51840367318727
2023-04-18,166.470001,167.75481842518616
2023-04-19,167.630005,167.7287544768219
2023-04-20,166.649994,165.2649146264038
2023-04-21,165.020004,165.36003667967225
2023-04-24,165.330002,164.8561722551117
2023-04-25,163.770004,163.45001676628112
2023-04-26,163.759995,163.05015628678893
2023-04-27,168.410004,167.12629726478576
2023-04-28,169.679993,168.6975974471283
2023-05-01,169.589996,169.58680771009824
2023-05-02,168.539993,169.41773458888244
2023-05-03,167.449997,168.8449447101202
2023-05-04,165.789993,164.76350635049437
2023-05-05,173.570007,168.54873814580537
2023-05-08,173.5,171.8968715940094
2023-05-09,171.770004,170.57810274702837
2023-05-10,173.559998,175.1785757718811
2023-05-11,173.75,173.68275930575942
2023-05-12,172.570007,171.24039272717283
2023-05-15,172.070007,170.97939761571504
2023-05-16,172.070007,172.31215447972107
2023-05-17,172.690002,172.02726637842562
2023-05-18,175.050003,173.22633129769514
2023-05-19,175.160004,176.0626103408203
2023-05-22,174.199997,175.32604265146634
2023-05-23,171.559998,172.20082900320432
2023-05-24,171.839996,172.16900582722474
2023-05-25,172.990005,171.8206378262329
2023-05-26,175.429993,173.3646884311905
2023-05-30,177.300003,176.3760242298584
2023-05-31,177.25,178.74371657711794
2023-06-01,180.089996,179.39228553022764
2023-06-02,180.949997,181.55691002163698
2023-06-05,179.580002,179.39036128418348
2023-06-06,179.210007,178.1577964728165
2023-06-07,177.820007,177.86356405667115
2023-06-08,180.570007,177.67705158984376
2023-06-09,180.960007,180.19392098122788
2023-06-12,183.789993,182.59215138438415
2023-06-13,183.309998,184.71218832017516
2023-06-14,183.949997,184.03479626724243
2023-06-15,186.009995,185.40368235519406
2023-06-16,184.919998,184.97355544190597
2023-06-20,185.009995,183.5318640129776
2023-06-21,183.960007,184.40441785129548
2023-06-22,187.0,184.99046874812126
2023-06-23,186.679993,186.32155672073364
2023-06-26,185.270004,185.9760534541893
2023-06-27,188.059998,187.02528210980987
2023-06-28,189.25,189.29935825279233
2023-06-29,189.589996,189.01128578594208
2023-06-30,193.970001,191.095624166214
2023-07-03,192.460007,194.14168569496155
2023-07-05,191.330002,190.71699940307238
2023-07-06,191.809998,190.71534285341644
2023-07-07,190.679993,189.80118267741392
2023-07-10,188.610001,187.42517358779907
2023-07-11,188.080002,187.7085157367096
2023-07-12,189.770004,189.49205103839495
2023-07-13,190.539993,189.80004170894622
2023-07-14,190.690002,191.03531694412231
2023-07-17,193.990005,193.99256447042848
2023-07-18,193.729996,194.611998423172
2023-07-19,,193.510540844368
