date,price,pred
2023-02-23,149.399994,151.1701133574867
2023-02-24,146.710007,150.0783568785839
2023-02-27,147.919998,148.24156798090362
2023-02-28,147.410004,149.28432466643523
2023-03-01,145.309998,145.95888926642607
2023-03-02,145.910004,145.18781362534332
2023-03-03,151.029999,149.6223471151123
2023-03-06,153.830002,150.50268564292907
2023-03-07,151.600006,151.6008091511078
2023-03-08,152.869995,154.2275935779419
2023-03-09,150.589996,152.60119704655457
2023-03-10,148.5,147.62966909204104
2023-03-13,150.470001,148.29994545323183
2023-03-14,152.589996,151.8174246052246
2023-03-15,152.990005,151.27892674445346
2023-03-16,155.850006,155.83664581707765
2023-03-17,155.0,158.6064264270325
2023-03-20,157.399994,157.45081806660463
2023-03-21,159.279999,158.85636341163635
2023-03-22,157.830002,158.0308663204727
2023-03-23,158.929993,157.7185091417122
2023-03-24,160.25,160.24171837737273
2023-03-27,158.279999,158.50392609799957
2023-03-28,157.649994,157.122450172554
2023-03-29,160.770004,160.32857899187468
2023-03-30,162.360001,161.02011050087737
2023-03-31,164.899994,162.96434651919554
2023-04-03,166.169998,167.06980427264403
2023-04-04,165.630005,167.2162940631561
2023-04-05,163.759995,164.5159015268917
2023-04-06,164.660004,163.58307911667632
2023-04-10,162.029999,161.87913985661316
2023-04-11,160.800003,160.67180185931394
2023-04-12,160.100006,161.00670410360715
2023-04-13,165.559998,163.41446111748505
2023-04-14,165.210007,164.08502090727234
2023-04-17,165.229996,165.80779709817506
2023-04-18,166.470001,168.3794128751831
2023-04-19,167.630005,167.75496406964112
2023-04-20,166.649994,165.53121339730833
2023-04-21,165.020004,165.37303895609284
2023-04-24,165.330002,164.82245021207427
2023-04-25,163.770004,163.2808628375244
2023-04-26,163.759995,163.66840880258178
2023-04-27,168.410004,167.34956291267395
2023-04-28,169.679993,168.6489698321533
2023-05-01,169.589996,169.35193942205808
2023-05-02,168.539993,170.6975488321991
2023-05-03,167.449997,168.49698461054228
2023-05-04,165.789993,164.40240663049315
2023-05-05,173.570007,168.62516834733583
2023-05-08,173.5,172.12305643898011
2023-05-09,171.770004,171.59991643769075
2023-05-10,173.559998,175.71128298623657
2023-05-11,173.75,175.31484147004699
2023-05-12,172.570007,170.98329762867735
2023-05-15,172.070007,171.52646203927614
2023-05-16,172.070007,172.76047120282936
2023-05-17,172.690002,171.0005458545914
2023-05-18,175.050003,173.9175045531387
2023-05-19,175.160004,176.22831316064452
2023-05-22,174.199997,175.2648493044891
2023-05-23,171.559998,173.12896475588224
2023-05-24,171.839996,171.79224772862244
2023-05-25,172.990005,171.65173805168152
2023-05-26,175.429993,173.30356959001924
2023-05-30,177.300003,176.0123150185089
2023-05-31,177.25,178.12267885548403
2023-06-01,180.089996,180.34319395269773
2023-06-02,180.949997,181.2766055897217
2023-06-05,179.580002,179.50587717192076
2023-06-06,179.210007,178.5813851063538
2023-06-07,177.820007,178.0514206116562
2023-06-08,180.570007,178.1346651772232
2023-06-09,180.960007,180.03655071192932
2023-06-12,183.789993,182.22197602275085
2023-06-13,183.309998,183.96258790971373
2023-06-14,183.949997,184.92500093528747
2023-06-15,186.009995,185.7672871392059
2023-06-16,184.919998,185.12787025790405
2023-06-20,185.009995,183.88416751792144
2023-06-21,183.960007,184.23524222644807
2023-06-22,187.0,185.3074677067089
2023-06-23,186.679993,185.97482899188995
2023-06-26,185.270004,186.0641407149124
2023-06-27,188.059998,187.44993862016295
2023-06-28,189.25,189.35560429504392
2023-06-29,189.589996,188.57970178535462
2023-06-30,193.970001,192.39253898211672
2023-07-03,192.460007,193.90966579368592
2023-07-05,191.330002,191.9924520765076
2023-07-06,191.809998,191.60489434396172
2023-07-07,190.679993,190.9253945848007
2023-07-10,188.610001,187.32539302825927
2023-07-11,188.080002,188.30346069062804
2023-07-12,189.770004,189.56189361537554
2023-07-13,190.539993,189.25673790633678
2023-07-14,190.690002,190.58971047401428
2023-07-17,193.990005,194.13527849401856
2023-07-18,193.729996,194.59898172242737
2023-07-19,,194.26316857473756
