date,price,pred
2023-02-17,125.4128334394745,125.38738
2023-02-21,125.35475685878403,125.39975
2023-02-22,125.36089281592616,125.40893
2023-02-23,125.36788468476504,125.41428
2023-02-24,125.32950016964686,125.41602
2023-02-27,125.34676602712025,125.41439
2023-02-28,125.33948870922657,125.41003
2023-03-01,125.3095228727536,125.40342
2023-03-02,125.31808460252698,125.394615
2023-03-03,125.39114388372009,125.38409
2023-03-06,125.43109825977277,125.37377
2023-03-07,125.39927754877819,125.36617
2023-03-08,125.41739953568215,125.36225
2023-03-09,125.38486531091748,125.362366
2023-03-10,125.35504230783883,125.36573
2023-03-13,125.38315305205633,125.370575
2023-03-14,125.41340411985026,125.3758
2023-03-15,125.41911201227711,125.38118
2023-03-16,125.45992251776036,125.38681
2023-03-17,125.4477934368704,125.393364
2023-03-20,125.48203992049622,125.40121
2023-03-21,125.50886647056787,125.41041
2023-03-22,125.48817587763835,125.42132
2023-03-23,125.50387209191109,125.43367
2023-03-24,125.52270781031898,125.447
2023-03-27,125.49459706610146,125.46089
2023-03-28,125.48560727161282,125.474174
2023-03-29,125.53012796160698,125.48555
2023-03-30,125.55281626245242,125.49513
2023-03-31,125.58906045399418,125.50379
2023-04-03,125.60718265863198,125.51281
2023-04-04,125.59947727602301,125.52318
2023-04-05,125.57279334161184,125.534996
2023-04-06,125.58563593627191,125.5471
2023-04-10,125.54810733285045,125.55854
2023-04-11,125.53055602632226,125.56767
2023-04-12,125.52056748674255,125.57309
2023-04-13,125.59847831319811,125.5741
2023-04-14,125.59348415227518,125.572655
2023-04-17,125.59376938359615,125.57064
2023-04-18,125.61146352351867,125.56934
2023-04-19,125.6280160849558,125.56976
2023-04-20,125.61403191181037,125.57258
2023-04-21,125.59077293058915,125.5775
2023-04-24,125.59519641113631,125.58321
2023-04-25,125.57293617500616,125.58858
2023-04-26,125.57279334161184,125.59234
2023-04-27,125.63914620302089,125.5938
2023-04-28,125.65726818992484,125.59447
2023-05-01,125.655983995779,125.596115
2023-05-02,125.6410010775425,125.599785
2023-05-03,125.62544747893025,125.60532
2023-05-04,125.60176021525992,125.611626
2023-05-05,125.71277638232361,125.61697
2023-05-08,125.71177741949873,125.62261
2023-05-09,125.68709141073732,125.62982
2023-05-10,125.71263354892929,125.638565
2023-05-11,125.71534477061532,125.648796
2023-05-12,125.6985069778572,125.660095
2023-05-15,125.691372275624,125.6714
2023-05-16,125.691372275624,125.68142
2023-05-17,125.70021923671835,125.68926
2023-05-18,125.73389503996839,125.69478
2023-05-19,125.73546468316906,125.69906
2023-05-22,125.72176595907844,125.703094
2023-05-23,125.6840947399965,125.70701
2023-05-24,125.68809015582839,125.70955
2023-05-25,125.70450010160503,125.70994
2023-05-26,125.73931726560663,125.70849
2023-05-30,125.7660012000178,125.70676
2023-05-31,125.7652876862477,125.70664
2023-06-01,125.80581274267614,125.70915
2023-06-02,125.81808443922661,125.71521
2023-06-05,125.79853542478247,125.72502
2023-06-06,125.79325581480472,125.73753
2023-06-07,125.77342135130579,125.75112
2023-06-08,125.81266221358838,125.76365
2023-06-09,125.81822727262093,125.7747
2023-06-12,125.85860949565506,125.78439
2023-06-13,125.85176024247666,125.79386
2023-06-14,125.8608926526258,125.8036
2023-06-15,125.89028759098915,125.81377
2023-06-16,125.8747339923769,125.82478
2023-06-20,125.87601818652274,125.836174
2023-06-21,125.86103548602011,125.847176
2023-06-22,125.90441437979506,125.85658
2023-06-23,125.89984806585358,125.864845
2023-06-26,125.87972837103368,125.87225
2023-06-27,125.91953991369203,125.87826
2023-06-28,125.93652053984445,125.883606
2023-06-29,125.9413720851069,125.8893
2023-06-30,126.00387214634455,125.895874
2023-07-03,125.98232542398448,125.90481
2023-07-05,125.96620092726262,125.916046
2023-07-06,125.97305018044102,125.92829
2023-07-07,125.95692568371916,125.94031
2023-07-10,125.92738812969532,125.950485
2023-07-11,125.91982536274683,125.95679
2023-07-12,125.94394069113245,125.95806
2023-07-13,125.95492797580322,125.95529
2023-07-14,125.95706851711348,125.95035
2023-07-17,126.00415759539935,125.94495
2023-07-18,126.00044741088844,125.941666
2023-07-19,126.01999664306639,125.94181
2023-07-20,125.9918858988489,125.946
2023-07-21,125.97490527269647,125.95302
2023-07-24,125.99231396356417,125.9607
