date,price,pred
2023-02-24,146.710007,149.7331211806588
2023-02-27,147.919998,147.96907899941826
2023-02-28,147.410004,148.95310523169707
2023-03-01,145.309998,145.92283501284788
2023-03-02,145.910004,145.07687626839447
2023-03-03,151.029999,149.50576686723326
2023-03-06,153.830002,150.51239214012145
2023-03-07,151.600006,151.93644505160523
2023-03-08,152.869995,153.87736669882202
2023-03-09,150.589996,152.4455767770772
2023-03-10,148.5,147.92189016137698
2023-03-13,150.470001,148.3278976474457
2023-03-14,152.589996,151.8340147236328
2023-03-15,152.990005,151.275383844368
2023-03-16,155.850006,156.070747589386
2023-03-17,155.0,158.63878555026247
2023-03-20,157.399994,157.72704482556153
2023-03-21,159.279999,158.71413528511047
2023-03-22,157.830002,157.70158767257308
2023-03-23,158.929993,157.6249776672411
2023-03-24,160.25,160.08067819049072
2023-03-27,158.279999,158.45065778459167
2023-03-28,157.649994,157.41018921102142
2023-03-29,160.770004,160.62587909220122
2023-03-30,162.360001,161.05734647614287
2023-03-31,164.899994,162.99346219607543
2023-04-03,166.169998,167.1204205369873
2023-04-04,165.630005,166.99528695446776
2023-04-05,163.759995,164.3100481242771
2023-04-06,164.660004,163.20684971127318
2023-04-10,162.029999,161.8693441908722
2023-04-11,160.800003,160.585133606369
2023-04-12,160.100006,161.17064095701596
2023-04-13,165.559998,163.30087290356445
2023-04-14,165.210007,164.48956836019897
2023-04-17,165.229996,165.96210017205811
2023-04-18,166.470001,168.03226302624512
2023-04-19,167.630005,167.4254222672348
2023-04-20,166.649994,165.50791346482848
2023-04-21,165.020004,165.46484000341798
2023-04-24,165.330002,165.0779864106903
2023-04-25,163.770004,163.34826901504516
2023-04-26,163.759995,163.91789250714874
2023-04-27,168.410004,167.4980318839264
2023-04-28,169.679993,168.79203909942626
2023-05-01,169.589996,169.36361978666685
2023-05-02,168.539993,170.5314213888855
2023-05-03,167.449997,168.38311756609343
2023-05-04,165.789993,164.69188683984373
2023-05-05,173.570007,168.48448123929597
2023-05-08,173.5,172.78547551971437
2023-05-09,171.770004,171.74072156292726
2023-05-10,173.559998,175.44495465142822
2023-05-11,173.75,175.3858747094116
2023-05-12,172.570007,171.38478569439695
2023-05-15,172.070007,171.55520471028902
2023-05-16,172.070007,172.9129850123315
2023-05-17,172.690002,170.92737578871157
2023-05-18,175.050003,174.20973790103147
2023-05-19,175.160004,176.31295557092284
2023-05-22,174.199997,175.37708580427548
2023-05-23,171.559998,172.96222541128537
2023-05-24,171.839996,171.56740351132203
2023-05-25,172.990005,171.4344097416687
2023-05-26,175.429993,173.32391819851304
2023-05-30,177.300003,176.13271806988524
2023-05-31,177.25,178.00310860020448
2023-06-01,180.089996,180.45755571569822
2023-06-02,180.949997,181.12105654034426
2023-06-05,179.580002,179.32890102760695
2023-06-06,179.210007,178.2745641176987
2023-06-07,177.820007,177.814984125412
2023-06-08,180.570007,177.96881704127503
2023-06-09,180.960007,180.49255866938782
2023-06-12,183.789993,182.20384667399597
2023-06-13,183.309998,184.08650501252745
2023-06-14,183.949997,184.86981251785278
2023-06-15,186.009995,185.47630370071408
2023-06-16,184.919998,184.83757310729217
2023-06-20,185.009995,183.94082155396652
2023-06-21,183.960007,184.3505462792778
2023-06-22,187.0,185.44296634963035
2023-06-23,186.679993,186.42426219940185
2023-06-26,185.270004,186.3958537953186
2023-06-27,188.059998,187.423155630661
2023-06-28,189.25,189.20585644653318
2023-06-29,189.589996,188.48309672286987
2023-06-30,193.970001,192.1128100926514
2023-07-03,192.460007,193.98179337432862
2023-07-05,191.330002,191.89543151004412
2023-07-06,191.809998,191.33810654674912
2023-07-07,190.679993,190.8962928554077
2023-07-10,188.610001,187.61522037506103
2023-07-11,188.080002,188.38098892892455
2023-07-12,189.770004,189.76489843005993
2023-07-13,190.539993,189.47908412277698
2023-07-14,190.690002,191.03056406974792
2023-07-17,193.990005,193.9691460439148
2023-07-18,193.729996,194.54462490899658
2023-07-19,195.100006,194.51147246496583
2023-07-20,,195.42687539987182
